--- Running Pine Script Logic Test over last 4 weeks ---
Processed 0 candles...
[2026-03-16 19:11:00+00:00] Support candidate updated: cand_open=24988.0
[2026-03-16 19:12:00+00:00] Support candidate updated: cand_open=24968.5
[2026-03-16 19:13:00+00:00] Support candidate updated: cand_open=24941.0
[2026-03-16 19:10:00+00:00] Support candidate updated: cand_open=25002.5
[2026-03-16 19:11:00+00:00] Support candidate updated: cand_open=24988.0
[2026-03-16 19:12:00+00:00] Support candidate updated: cand_open=24968.5
[2026-03-16 20:08:00+00:00] Support candidate updated: cand_open=24900.5
[2026-03-16 20:09:00+00:00] Support candidate updated: cand_open=24895.5
[2026-03-16 20:32:00+00:00] Support candidate updated: cand_open=24872.5
[2026-03-16 20:32:00+00:00] Support candidate updated: cand_open=24872.5
[2026-03-16 22:14:00+00:00] Support candidate updated: cand_open=24859.0
[2026-03-16 22:49:00+00:00] Support candidate updated: cand_open=24845.5
[2026-03-16 23:21:00+00:00] Support candidate updated: cand_open=24850.0
[2026-03-16 23:44:00+00:00] Support candidate updated: cand_open=24869.25
[2026-03-16 23:46:00+00:00] Support candidate updated: cand_open=24869.0
[2026-03-16 23:51:00+00:00] Support candidate updated: cand_open=24872.5
[2026-03-16 23:51:00+00:00] Support candidate updated: cand_open=24872.5
[2026-03-16 23:55:00+00:00] Support candidate updated: cand_open=24871.0
[2026-03-16 23:57:00+00:00] Support candidate updated: cand_open=24870.0
[2026-03-17 01:51:00+00:00] Support candidate updated: cand_open=24822.75
[2026-03-17 02:22:00+00:00] Support candidate updated: cand_open=24827.0
[2026-03-17 02:22:00+00:00] Support candidate updated: cand_open=24827.0
[2026-03-17 04:07:00+00:00] Support candidate updated: cand_open=24801.5
[2026-03-17 04:08:00+00:00] Support candidate updated: cand_open=24801.0
[2026-03-17 03:19:00+00:00] Support candidate updated: cand_open=24810.75
[2026-03-17 02:45:00+00:00] Support candidate updated: cand_open=24823.5
[2026-03-17 02:46:00+00:00] Support candidate updated: cand_open=24822.75
[2026-03-17 04:38:00+00:00] Support candidate updated: cand_open=24829.5
[2026-03-17 04:39:00+00:00] Support candidate updated: cand_open=24827.5
[2026-03-17 04:40:00+00:00] Support candidate updated: cand_open=24824.0
[2026-03-17 02:36:00+00:00] Support candidate updated: cand_open=24828.0
[2026-03-17 02:38:00+00:00] Support candidate updated: cand_open=24827.25
[2026-03-17 02:32:00+00:00] Support candidate updated: cand_open=24831.75
[2026-03-17 04:52:00+00:00] Support candidate updated: cand_open=24847.5
[2026-03-17 07:12:00+00:00] Support candidate updated: cand_open=24765.75
[2026-03-17 09:31:00+00:00] Support candidate updated: cand_open=24847.5
[2026-03-17 09:45:00+00:00] Support candidate updated: cand_open=24841.25
[2026-03-17 09:49:00+00:00] Support candidate updated: cand_open=24841.0
[2026-03-17 10:24:00+00:00] Support candidate updated: cand_open=24806.75
Processed 5000 candles...
[2026-03-17 09:31:00+00:00] Support candidate updated: cand_open=24847.5
[2026-03-17 00:36:00+00:00] Support candidate updated: cand_open=24861.5
[2026-03-17 11:26:00+00:00] Support candidate updated: cand_open=24856.5
[2026-03-17 11:27:00+00:00] Support candidate updated: cand_open=24854.0
[2026-03-17 11:26:00+00:00] Support candidate updated: cand_open=24856.5
[2026-03-17 11:27:00+00:00] Support candidate updated: cand_open=24854.0
[2026-03-17 11:41:00+00:00] Support candidate updated: cand_open=24857.0
[2026-03-17 12:21:00+00:00] Support candidate updated: cand_open=24906.75
[2026-03-16 19:10:00+00:00] Support candidate updated: cand_open=25002.5
[2026-03-16 19:11:00+00:00] Support candidate updated: cand_open=24988.0
[2026-03-16 19:12:00+00:00] Support candidate updated: cand_open=24968.5
[2026-03-16 19:10:00+00:00] Support candidate updated: cand_open=25002.5
[2026-03-16 19:11:00+00:00] Support candidate updated: cand_open=24988.0
[2026-03-16 19:12:00+00:00] Support candidate updated: cand_open=24968.5
[2026-03-16 19:10:00+00:00] Support candidate updated: cand_open=25002.5
[2026-03-16 19:11:00+00:00] Support candidate updated: cand_open=24988.0
[2026-03-16 19:12:00+00:00] Support candidate updated: cand_open=24968.5
[2026-03-16 14:19:00+00:00] Support candidate updated: cand_open=24977.25
[2026-03-17 13:34:00+00:00] Support candidate updated: cand_open=25067.5
[2026-03-17 14:34:00+00:00] Support candidate updated: cand_open=25076.5
[2026-03-17 14:45:00+00:00] Support candidate updated: cand_open=25086.5
[2026-03-17 14:45:00+00:00] Support candidate updated: cand_open=25086.5
[2026-03-17 14:50:00+00:00] Support candidate updated: cand_open=25085.75
[2026-03-17 16:12:00+00:00] Support candidate updated: cand_open=24996.0
[2026-03-17 15:52:00+00:00] Support candidate updated: cand_open=25008.5
[2026-03-17 16:25:00+00:00] Support candidate updated: cand_open=25021.25
[2026-03-17 16:27:00+00:00] Support candidate updated: cand_open=25020.5
[2026-03-17 17:04:00+00:00] Support candidate updated: cand_open=25037.0
[2026-03-17 17:32:00+00:00] Support candidate updated: cand_open=25025.75
[2026-03-17 17:33:00+00:00] Support candidate updated: cand_open=25022.5
[2026-03-17 17:04:00+00:00] Support candidate updated: cand_open=25037.0
[2026-03-17 15:27:00+00:00] Support candidate updated: cand_open=25043.0
[2026-03-17 15:27:00+00:00] Support candidate updated: cand_open=25043.0
[2026-03-17 17:58:00+00:00] Support candidate updated: cand_open=25040.75
[2026-03-17 18:04:00+00:00] Support candidate updated: cand_open=25041.0
[2026-03-17 19:16:00+00:00] Support candidate updated: cand_open=25023.5
[2026-03-17 19:17:00+00:00] Support candidate updated: cand_open=25017.75
[2026-03-17 19:50:00+00:00] Support candidate updated: cand_open=25016.25
[2026-03-17 19:55:00+00:00] Support candidate updated: cand_open=25027.5
[2026-03-17 20:15:00+00:00] Support candidate updated: cand_open=25027.75
[2026-03-17 20:32:00+00:00] Support candidate updated: cand_open=25025.0
[2026-03-17 20:32:00+00:00] Support candidate updated: cand_open=25025.0
[2026-03-17 20:48:00+00:00] Support candidate updated: cand_open=25027.5
[2026-03-17 20:48:00+00:00] Support candidate updated: cand_open=25027.5
[2026-03-17 20:51:00+00:00] Support candidate updated: cand_open=25026.5
[2026-03-18 02:01:00+00:00] Support candidate updated: cand_open=25107.0
[2026-03-18 02:02:00+00:00] Support candidate updated: cand_open=25106.0
[2026-03-18 03:15:00+00:00] Support candidate updated: cand_open=25123.0
[2026-03-18 03:16:00+00:00] Support candidate updated: cand_open=25121.25
[2026-03-18 03:15:00+00:00] Support candidate updated: cand_open=25123.0
[2026-03-18 02:48:00+00:00] Support candidate updated: cand_open=25126.75
[2026-03-18 03:23:00+00:00] Support candidate updated: cand_open=25125.5
[2026-03-18 02:48:00+00:00] Support candidate updated: cand_open=25126.75
[2026-03-12 11:44:00+00:00] Support candidate updated: cand_open=25139.25
Processed 6000 candles...
[2026-03-18 04:36:00+00:00] Candidate updated: cand_open=25133.5
[2026-03-18 05:31:00+00:00] Support candidate updated: cand_open=25167.0
[2026-03-18 05:50:00+00:00] Support candidate updated: cand_open=25168.25
[2026-03-18 06:21:00+00:00] Support candidate updated: cand_open=25194.0
[2026-03-18 06:22:00+00:00] Support candidate updated: cand_open=25193.25
[2026-03-18 07:51:00+00:00] Candidate updated: cand_open=25163.75
[2026-03-18 08:09:00+00:00] Candidate updated: cand_open=25170.0
